instance_nr,opt,nbh,time,seed,makespan
J3010_1,42,swap,100,1,42
J3010_1,42,swap,100,2,42
J3010_1,42,swap,100,3,42
J3010_1,42,swap,100,4,42
J3010_1,42,swap,100,5,42
J3010_1,42,swap,500,1,42
J3010_1,42,swap,500,2,42
J3010_1,42,swap,500,3,42
J3010_1,42,swap,500,4,42
J3010_1,42,swap,500,5,42
J3010_1,42,swap,1000,1,42
J3010_1,42,swap,1000,2,42
J3010_1,42,swap,1000,3,42
J3010_1,42,swap,1000,4,42
J3010_1,42,swap,1000,5,42
J3010_1,42,swap,5000,1,42
J3010_1,42,swap,5000,2,42
J3010_1,42,swap,5000,3,42
J3010_1,42,swap,5000,4,42
J3010_1,42,swap,5000,5,42
J3010_1,42,api,100,1,42
J3010_1,42,api,100,2,42
J3010_1,42,api,100,3,43
J3010_1,42,api,100,4,43
J3010_1,42,api,100,5,45
J3010_1,42,api,500,1,42
J3010_1,42,api,500,2,42
J3010_1,42,api,500,3,42
J3010_1,42,api,500,4,42
J3010_1,42,api,500,5,42
J3010_1,42,api,1000,1,42
J3010_1,42,api,1000,2,42
J3010_1,42,api,1000,3,42
J3010_1,42,api,1000,4,42
J3010_1,42,api,1000,5,42
J3010_1,42,api,5000,1,42
J3010_1,42,api,5000,2,42
J3010_1,42,api,5000,3,42
J3010_1,42,api,5000,4,42
J3010_1,42,api,5000,5,42
J3011_1,54,swap,100,1,54
J3011_1,54,swap,100,2,55
J3011_1,54,swap,100,3,55
J3011_1,54,swap,100,4,54
J3011_1,54,swap,100,5,54
J3011_1,54,swap,500,1,54
J3011_1,54,swap,500,2,54
J3011_1,54,swap,500,3,54
J3011_1,54,swap,500,4,55
J3011_1,54,swap,500,5,54
J3011_1,54,swap,1000,1,54
J3011_1,54,swap,1000,2,54
J3011_1,54,swap,1000,3,54
J3011_1,54,swap,1000,4,54
J3011_1,54,swap,1000,5,54
J3011_1,54,swap,5000,1,54
J3011_1,54,swap,5000,2,54
J3011_1,54,swap,5000,3,54
J3011_1,54,swap,5000,4,54
J3011_1,54,swap,5000,5,54
J3011_1,54,api,100,1,55
J3011_1,54,api,100,2,54
J3011_1,54,api,100,3,55
J3011_1,54,api,100,4,55
J3011_1,54,api,100,5,55
J3011_1,54,api,500,1,55
J3011_1,54,api,500,2,55
J3011_1,54,api,500,3,55
J3011_1,54,api,500,4,54
J3011_1,54,api,500,5,55
J3011_1,54,api,1000,1,55
J3011_1,54,api,1000,2,55
