instance,bks,nbh,time,seed,makespan
X6_8,147,swap,20,8948803,155
X6_8,147,swap,20,9459607,157
X6_8,147,swap,20,40594335,163
X6_8,147,swap,20,41299189,157
X6_8,147,swap,20,55911072,159
X6_8,147,swap,20,59528639,159
X6_8,147,swap,20,61045676,163
X6_8,147,swap,20,81907177,160
X6_8,147,swap,20,84183543,159
X6_8,147,swap,20,85838798,163
X9_6,98,swap,20,8948803,100
X9_6,98,swap,20,9459607,99
X9_6,98,swap,20,40594335,98
X9_6,98,swap,20,41299189,100
X9_6,98,swap,20,55911072,100
X9_6,98,swap,20,59528639,100
X9_6,98,swap,20,61045676,99
X9_6,98,swap,20,81907177,100
X9_6,98,swap,20,84183543,98
X9_6,98,swap,20,85838798,100
X10_9,77,swap,20,8948803,77
X10_9,77,swap,20,9459607,77
X10_9,77,swap,20,40594335,77
X10_9,77,swap,20,41299189,77
X10_9,77,swap,20,55911072,77
X10_9,77,swap,20,59528639,77
X10_9,77,swap,20,61045676,77
X10_9,77,swap,20,81907177,77
X10_9,77,swap,20,84183543,77
X10_9,77,swap,20,85838798,77
X27_6,145,swap,20,8948803,155
X27_6,145,swap,20,9459607,155
X27_6,145,swap,20,40594335,158
X27_6,145,swap,20,41299189,155
X27_6,145,swap,20,55911072,155
X27_6,145,swap,20,59528639,157
X27_6,145,swap,20,61045676,157
X27_6,145,swap,20,81907177,155
X27_6,145,swap,20,84183543,156
X27_6,145,swap,20,85838798,158
X30_8,79,swap,20,8948803,79
X30_8,79,swap,20,9459607,79
X30_8,79,swap,20,40594335,79
X30_8,79,swap,20,41299189,79
X30_8,79,swap,20,55911072,79
X30_8,79,swap,20,59528639,79
X30_8,79,swap,20,61045676,79
X30_8,79,swap,20,81907177,79
X30_8,79,swap,20,84183543,79
X30_8,79,swap,20,85838798,79
X42_7,123,swap,20,8948803,123
X42_7,123,swap,20,9459607,123
X42_7,123,swap,20,40594335,123
X42_7,123,swap,20,41299189,123
X42_7,123,swap,20,55911072,123
X42_7,123,swap,20,59528639,123
X42_7,123,swap,20,61045676,123
X42_7,123,swap,20,81907177,123
X42_7,123,swap,20,84183543,123
X42_7,123,swap,20,85838798,123
X51_6,214,swap,20,8948803,229
X51_6,214,swap,20,9459607,229
X51_6,214,swap,20,40594335,229
X51_6,214,swap,20,41299189,228
X51_6,214,swap,20,55911072,233
X51_6,214,swap,20,59528639,225
X51_6,214,swap,20,61045676,230
X51_6,214,swap,20,81907177,227
X51_6,214,swap,20,84183543,230
X51_6,214,swap,20,85838798,228
X55_10,100,swap,20,8948803,100
X55_10,100,swap,20,9459607,100
X55_10,100,swap,20,40594335,100
X55_10,100,swap,20,41299189,100
X55_10,100,swap,20,55911072,100
X55_10,100,swap,20,59528639,100
X55_10,100,swap,20,61045676,100
X55_10,100,swap,20,81907177,100
X55_10,100,swap,20,84183543,100
X55_10,100,swap,20,85838798,100
X58_3,120,swap,20,8948803,127
X58_3,120,swap,20,9459607,126
X58_3,120,swap,20,40594335,126
X58_3,120,swap,20,41299189,127
X58_3,120,swap,20,55911072,126
X58_3,120,swap,20,59528639,126
X58_3,120,swap,20,61045676,126
X58_3,120,swap,20,81907177,127
X58_3,120,swap,20,84183543,127
X58_3,120,swap,20,85838798,127
X59_3,108,swap,20,8948803,112
X59_3,108,swap,20,9459607,111
X59_3,108,swap,20,40594335,111
X59_3,108,swap,20,41299189,112
X59_3,108,swap,20,55911072,111
X59_3,108,swap,20,59528639,111
X59_3,108,swap,20,61045676,110
X59_3,108,swap,20,81907177,111
X59_3,108,swap,20,84183543,112
X59_3,108,swap,20,85838798,112
