instance_nr,time,seed,makespan
J6010_1,100,1,85
J6010_1,100,2,85
J6010_1,100,3,85
J6010_1,100,4,85
J6010_1,100,5,85
J6010_1,500,1,85
J6010_1,500,2,85
J6010_1,500,3,85
J6010_1,500,4,85
J6010_1,500,5,85
J6010_1,1000,1,85
J6010_1,1000,2,85
J6010_1,1000,3,85
J6010_1,1000,4,85
J6010_1,1000,5,85
J6010_1,5000,1,85
J6010_1,5000,2,85
J6010_1,5000,3,85
J6010_1,5000,4,85
J6010_1,5000,5,85
J6011_1,100,1,71
J6011_1,100,2,71
J6011_1,100,3,71
J6011_1,100,4,71
J6011_1,100,5,71
J6011_1,500,1,71
J6011_1,500,2,71
J6011_1,500,3,71
J6011_1,500,4,71
J6011_1,500,5,71
J6011_1,1000,1,71
J6011_1,1000,2,71
J6011_1,1000,3,71
J6011_1,1000,4,71
J6011_1,1000,5,71
J6011_1,5000,1,71
J6011_1,5000,2,71
J6011_1,5000,3,71
J6011_1,5000,4,71
J6011_1,5000,5,71
J6012_1,100,1,59
J6012_1,100,2,59
J6012_1,100,3,59
J6012_1,100,4,59
J6012_1,100,5,59
J6012_1,500,1,59
J6012_1,500,2,59
J6012_1,500,3,59
J6012_1,500,4,59
J6012_1,500,5,59
J6012_1,1000,1,59
J6012_1,1000,2,59
J6012_1,1000,3,59
J6012_1,1000,4,59
J6012_1,1000,5,59
J6012_1,5000,1,59
J6012_1,5000,2,59
J6012_1,5000,3,59
J6012_1,5000,4,59
J6012_1,5000,5,59
J6013_1,100,1,125
J6013_1,100,2,127
J6013_1,100,3,124
J6013_1,100,4,130
J6013_1,100,5,124
J6013_1,500,1,121
J6013_1,500,2,121
J6013_1,500,3,124
J6013_1,500,4,126
J6013_1,500,5,122
J6013_1,1000,1,121
J6013_1,1000,2,123
J6013_1,1000,3,123
J6013_1,1000,4,122
J6013_1,1000,5,122
J6013_1,5000,1,117
J6013_1,5000,2,120
J6013_1,5000,3,117
J6013_1,5000,4,117
J6013_1,5000,5,119
J6014_1,100,1,65
J6014_1,100,2,64
J6014_1,100,3,67
J6014_1,100,4,64
J6014_1,100,5,64
J6014_1,500,1,63
J6014_1,500,2,64
J6014_1,500,3,63
J6014_1,500,4,63
J6014_1,500,5,63
J6014_1,1000,1,63
J6014_1,1000,2,63
J6014_1,1000,3,62
J6014_1,1000,4,62
J6014_1,1000,5,62
J6014_1,5000,1,62
J6014_1,5000,2,62
J6014_1,5000,3,62
J6014_1,5000,4,61
J6014_1,5000,5,62
J6015_1,100,1,84
J6015_1,100,2,84
J6015_1,100,3,84
J6015_1,100,4,84
J6015_1,100,5,84
J6015_1,500,1,84
J6015_1,500,2,84
J6015_1,500,3,84
J6015_1,500,4,84
J6015_1,500,5,84
J6015_1,1000,1,84
J6015_1,1000,2,84
J6015_1,1000,3,84
J6015_1,1000,4,84
J6015_1,1000,5,84
J6015_1,5000,1,84
J6015_1,5000,2,84
J6015_1,5000,3,84
J6015_1,5000,4,84
J6015_1,5000,5,84
J6016_1,100,1,64
J6016_1,100,2,64
J6016_1,100,3,64
J6016_1,100,4,64
J6016_1,100,5,64
J6016_1,500,1,64
J6016_1,500,2,64
J6016_1,500,3,64
J6016_1,500,4,64
J6016_1,500,5,64
J6016_1,1000,1,64
J6016_1,1000,2,64
J6016_1,1000,3,64
J6016_1,1000,4,64
J6016_1,1000,5,64
J6016_1,5000,1,64
J6016_1,5000,2,64
J6016_1,5000,3,64
J6016_1,5000,4,64
J6016_1,5000,5,64
J6017_1,100,1,90
J6017_1,100,2,91
J6017_1,100,3,91
J6017_1,100,4,90
J6017_1,100,5,91
J6017_1,500,1,86
J6017_1,500,2,86
J6017_1,500,3,86
J6017_1,500,4,86
J6017_1,500,5,90
J6017_1,1000,1,86
J6017_1,1000,2,86
J6017_1,1000,3,86
J6017_1,1000,4,86
J6017_1,1000,5,86
J6017_1,5000,1,86
J6017_1,5000,2,86
J6017_1,5000,3,86
J6017_1,5000,4,86
J6017_1,5000,5,86
J6018_1,100,1,81
J6018_1,100,2,81
J6018_1,100,3,81
J6018_1,100,4,81
J6018_1,100,5,81
J6018_1,500,1,81
J6018_1,500,2,81
J6018_1,500,3,81
J6018_1,500,4,81
J6018_1,500,5,81
J6018_1,1000,1,81
J6018_1,1000,2,81
J6018_1,1000,3,81
J6018_1,1000,4,81
J6018_1,1000,5,81
J6018_1,5000,1,81
J6018_1,5000,2,81
J6018_1,5000,3,81
J6018_1,5000,4,81
J6018_1,5000,5,81
J6019_1,100,1,62
J6019_1,100,2,62
J6019_1,100,3,62
J6019_1,100,4,62
J6019_1,100,5,62
J6019_1,500,1,62
J6019_1,500,2,62
J6019_1,500,3,62
J6019_1,500,4,62
J6019_1,500,5,62
J6019_1,1000,1,62
J6019_1,1000,2,62
J6019_1,1000,3,62
J6019_1,1000,4,62
J6019_1,1000,5,62
J6019_1,5000,1,62
J6019_1,5000,2,62
J6019_1,5000,3,62
J6019_1,5000,4,62
J6019_1,5000,5,62
J601_1,100,1,77
J601_1,100,2,77
J601_1,100,3,77
J601_1,100,4,77
J601_1,100,5,77
J601_1,500,1,77
J601_1,500,2,77
J601_1,500,3,77
J601_1,500,4,77
J601_1,500,5,77
J601_1,1000,1,77
J601_1,1000,2,77
J601_1,1000,3,77
J601_1,1000,4,77
J601_1,1000,5,77
J601_1,5000,1,77
J601_1,5000,2,77
J601_1,5000,3,77
J601_1,5000,4,77
J601_1,5000,5,77
J6020_1,100,1,60
J6020_1,100,2,60
J6020_1,100,3,60
J6020_1,100,4,60
J6020_1,100,5,60
J6020_1,500,1,60
J6020_1,500,2,60
J6020_1,500,3,60
J6020_1,500,4,60
J6020_1,500,5,60
J6020_1,1000,1,60
J6020_1,1000,2,60
J6020_1,1000,3,60
J6020_1,1000,4,60
J6020_1,1000,5,60
J6020_1,5000,1,60
J6020_1,5000,2,60
J6020_1,5000,3,60
J6020_1,5000,4,60
J6020_1,5000,5,60
J6021_1,100,1,111
J6021_1,100,2,107
J6021_1,100,3,111
J6021_1,100,4,114
J6021_1,100,5,109
J6021_1,500,1,107
J6021_1,500,2,107
J6021_1,500,3,107
J6021_1,500,4,109
J6021_1,500,5,109
J6021_1,1000,1,105
J6021_1,1000,2,109
J6021_1,1000,3,108
J6021_1,1000,4,106
J6021_1,1000,5,108
J6021_1,5000,1,106
J6021_1,5000,2,108
J6021_1,5000,3,104
J6021_1,5000,4,105
J6021_1,5000,5,105
J6022_1,100,1,65
J6022_1,100,2,68
J6022_1,100,3,67
J6022_1,100,4,68
J6022_1,100,5,66
J6022_1,500,1,65
J6022_1,500,2,64
J6022_1,500,3,64
J6022_1,500,4,64
J6022_1,500,5,65
J6022_1,1000,1,64
J6022_1,1000,2,64
J6022_1,1000,3,65
J6022_1,1000,4,64
J6022_1,1000,5,64
J6022_1,5000,1,64
J6022_1,5000,2,64
J6022_1,5000,3,64
J6022_1,5000,4,64
J6022_1,5000,5,64
J6023_1,100,1,75
J6023_1,100,2,75
J6023_1,100,3,75
J6023_1,100,4,75
J6023_1,100,5,75
J6023_1,500,1,75
J6023_1,500,2,75
J6023_1,500,3,75
J6023_1,500,4,75
J6023_1,500,5,75
J6023_1,1000,1,75
J6023_1,1000,2,75
J6023_1,1000,3,75
J6023_1,1000,4,75
J6023_1,1000,5,75
J6023_1,5000,1,75
J6023_1,5000,2,75
J6023_1,5000,3,75
J6023_1,5000,4,75
J6023_1,5000,5,75
J6024_1,100,1,65
J6024_1,100,2,65
J6024_1,100,3,65
J6024_1,100,4,65
J6024_1,100,5,65
J6024_1,500,1,65
J6024_1,500,2,65
J6024_1,500,3,65
J6024_1,500,4,65
J6024_1,500,5,65
J6024_1,1000,1,65
J6024_1,1000,2,65
J6024_1,1000,3,65
J6024_1,1000,4,65
J6024_1,1000,5,65
J6024_1,5000,1,65
J6024_1,5000,2,65
J6024_1,5000,3,65
J6024_1,5000,4,65
J6024_1,5000,5,65
J6025_1,100,1,124
J6025_1,100,2,133
J6025_1,100,3,127
J6025_1,100,4,132
J6025_1,100,5,128
J6025_1,500,1,124
J6025_1,500,2,125
J6025_1,500,3,122
J6025_1,500,4,121
J6025_1,500,5,124
J6025_1,1000,1,122
J6025_1,1000,2,122
J6025_1,1000,3,123
J6025_1,1000,4,125
J6025_1,1000,5,120
J6025_1,5000,1,119
J6025_1,5000,2,120
J6025_1,5000,3,119
J6025_1,5000,4,121
J6025_1,5000,5,117
J6026_1,100,1,81
J6026_1,100,2,81
J6026_1,100,3,80
J6026_1,100,4,80
J6026_1,100,5,80
J6026_1,500,1,80
J6026_1,500,2,80
J6026_1,500,3,80
J6026_1,500,4,80
J6026_1,500,5,80
J6026_1,1000,1,80
J6026_1,1000,2,80
J6026_1,1000,3,80
J6026_1,1000,4,80
J6026_1,1000,5,80
J6026_1,5000,1,80
J6026_1,5000,2,80
J6026_1,5000,3,80
J6026_1,5000,4,80
J6026_1,5000,5,80
J6027_1,100,1,96
J6027_1,100,2,96
J6027_1,100,3,96
J6027_1,100,4,96
J6027_1,100,5,96
J6027_1,500,1,96
J6027_1,500,2,96
J6027_1,500,3,96
J6027_1,500,4,96
J6027_1,500,5,96
J6027_1,1000,1,96
J6027_1,1000,2,96
J6027_1,1000,3,96
J6027_1,1000,4,96
J6027_1,1000,5,96
J6027_1,5000,1,96
J6027_1,5000,2,96
J6027_1,5000,3,96
J6027_1,5000,4,96
J6027_1,5000,5,96
J6028_1,100,1,92
J6028_1,100,2,92
J6028_1,100,3,92
J6028_1,100,4,92
J6028_1,100,5,92
J6028_1,500,1,92
J6028_1,500,2,92
J6028_1,500,3,92
J6028_1,500,4,92
J6028_1,500,5,92
J6028_1,1000,1,92
J6028_1,1000,2,92
J6028_1,1000,3,92
J6028_1,1000,4,92
J6028_1,1000,5,92
J6028_1,5000,1,92
J6028_1,5000,2,92
J6028_1,5000,3,92
J6028_1,5000,4,92
J6028_1,5000,5,92
J6029_1,100,1,117
J6029_1,100,2,116
J6029_1,100,3,116
J6029_1,100,4,121
J6029_1,100,5,117
J6029_1,500,1,112
J6029_1,500,2,112
J6029_1,500,3,110
J6029_1,500,4,113
J6029_1,500,5,111
J6029_1,1000,1,111
J6029_1,1000,2,109
J6029_1,1000,3,111
J6029_1,1000,4,111
J6029_1,1000,5,110
J6029_1,5000,1,108
J6029_1,5000,2,109
J6029_1,5000,3,109
J6029_1,5000,4,107
J6029_1,5000,5,106
J602_1,100,1,65
J602_1,100,2,65
J602_1,100,3,65
J602_1,100,4,65
J602_1,100,5,65
J602_1,500,1,65
J602_1,500,2,65
J602_1,500,3,65
J602_1,500,4,65
J602_1,500,5,65
J602_1,1000,1,65
J602_1,1000,2,65
J602_1,1000,3,65
J602_1,1000,4,65
J602_1,1000,5,65
J602_1,5000,1,65
J602_1,5000,2,65
J602_1,5000,3,65
J602_1,5000,4,65
J602_1,5000,5,65
J6030_1,100,1,74
J6030_1,100,2,78
J6030_1,100,3,74
J6030_1,100,4,76
J6030_1,100,5,75
J6030_1,500,1,72
J6030_1,500,2,74
J6030_1,500,3,71
J6030_1,500,4,71
J6030_1,500,5,72
J6030_1,1000,1,71
J6030_1,1000,2,72
J6030_1,1000,3,72
J6030_1,1000,4,72
J6030_1,1000,5,72
J6030_1,5000,1,70
J6030_1,5000,2,70
J6030_1,5000,3,70
J6030_1,5000,4,70
J6030_1,5000,5,70
J6031_1,100,1,65
J6031_1,100,2,65
J6031_1,100,3,65
J6031_1,100,4,65
J6031_1,100,5,65
J6031_1,500,1,65
J6031_1,500,2,65
J6031_1,500,3,65
J6031_1,500,4,65
J6031_1,500,5,65
J6031_1,1000,1,65
J6031_1,1000,2,65
J6031_1,1000,3,65
J6031_1,1000,4,65
J6031_1,1000,5,65
J6031_1,5000,1,65
J6031_1,5000,2,65
J6031_1,5000,3,65
J6031_1,5000,4,65
J6031_1,5000,5,65
J6032_1,100,1,69
J6032_1,100,2,69
J6032_1,100,3,69
J6032_1,100,4,69
J6032_1,100,5,69
J6032_1,500,1,69
J6032_1,500,2,69
J6032_1,500,3,69
J6032_1,500,4,69
J6032_1,500,5,69
J6032_1,1000,1,69
J6032_1,1000,2,69
J6032_1,1000,3,69
J6032_1,1000,4,69
J6032_1,1000,5,69
J6032_1,5000,1,69
J6032_1,5000,2,69
J6032_1,5000,3,69
J6032_1,5000,4,69
J6032_1,5000,5,69
J6033_1,100,1,108
J6033_1,100,2,105
J6033_1,100,3,105
J6033_1,100,4,105
J6033_1,100,5,111
J6033_1,500,1,105
J6033_1,500,2,105
J6033_1,500,3,105
J6033_1,500,4,105
J6033_1,500,5,105
J6033_1,1000,1,105
J6033_1,1000,2,105
J6033_1,1000,3,105
J6033_1,1000,4,105
J6033_1,1000,5,105
J6033_1,5000,1,105
J6033_1,5000,2,105
J6033_1,5000,3,105
J6033_1,5000,4,105
J6033_1,5000,5,105
J6034_1,100,1,72
J6034_1,100,2,72
J6034_1,100,3,72
J6034_1,100,4,72
J6034_1,100,5,72
J6034_1,500,1,72
J6034_1,500,2,72
J6034_1,500,3,72
J6034_1,500,4,72
J6034_1,500,5,72
J6034_1,1000,1,72
J6034_1,1000,2,72
J6034_1,1000,3,72
J6034_1,1000,4,72
J6034_1,1000,5,72
J6034_1,5000,1,72
J6034_1,5000,2,72
J6034_1,5000,3,72
J6034_1,5000,4,72
J6034_1,5000,5,72
J6035_1,100,1,90
J6035_1,100,2,90
J6035_1,100,3,90
J6035_1,100,4,78
J6035_1,100,5,90
J6035_1,500,1,78
J6035_1,500,2,78
J6035_1,500,3,83
J6035_1,500,4,78
J6035_1,500,5,78
J6035_1,1000,1,78
J6035_1,1000,2,78
J6035_1,1000,3,78
J6035_1,1000,4,78
J6035_1,1000,5,78
J6035_1,5000,1,78
J6035_1,5000,2,78
J6035_1,5000,3,78
J6035_1,5000,4,78
J6035_1,5000,5,78
J6036_1,100,1,61
J6036_1,100,2,61
J6036_1,100,3,61
J6036_1,100,4,61
J6036_1,100,5,61
J6036_1,500,1,61
J6036_1,500,2,61
J6036_1,500,3,61
J6036_1,500,4,61
J6036_1,500,5,61
J6036_1,1000,1,61
J6036_1,1000,2,61
J6036_1,1000,3,61
J6036_1,1000,4,61
J6036_1,1000,5,61
J6036_1,5000,1,61
J6036_1,5000,2,61
J6036_1,5000,3,61
J6036_1,5000,4,61
J6036_1,5000,5,61
J6037_1,100,1,101
J6037_1,100,2,106
J6037_1,100,3,102
J6037_1,100,4,107
J6037_1,100,5,101
J6037_1,500,1,101
J6037_1,500,2,100
J6037_1,500,3,104
J6037_1,500,4,100
J6037_1,500,5,101
J6037_1,1000,1,102
J6037_1,1000,2,99
J6037_1,1000,3,100
J6037_1,1000,4,99
J6037_1,1000,5,100
J6037_1,5000,1,99
J6037_1,5000,2,100
J6037_1,5000,3,100
J6037_1,5000,4,99
J6037_1,5000,5,98
J6038_1,100,1,74
J6038_1,100,2,75
J6038_1,100,3,74
J6038_1,100,4,73
J6038_1,100,5,76
J6038_1,500,1,73
J6038_1,500,2,73
J6038_1,500,3,73
J6038_1,500,4,73
J6038_1,500,5,73
J6038_1,1000,1,73
J6038_1,1000,2,73
J6038_1,1000,3,73
J6038_1,1000,4,73
J6038_1,1000,5,73
J6038_1,5000,1,73
J6038_1,5000,2,73
