instance_nr,opt,nbh,time,seed,makespan
X10_1,111,swap,100,1,113
X10_1,111,swap,100,2,113
X10_1,111,swap,100,3,111
X10_1,111,swap,100,4,111
X10_1,111,swap,100,5,112
X10_1,111,swap,500,1,111
X10_1,111,swap,500,2,111
X10_1,111,swap,500,3,111
X10_1,111,swap,500,4,111
X10_1,111,swap,500,5,111
X10_1,111,swap,1000,1,111
X10_1,111,swap,1000,2,111
X10_1,111,swap,1000,3,111
X10_1,111,swap,1000,4,111
X10_1,111,swap,1000,5,111
X10_1,111,swap,5000,1,111
X10_1,111,swap,5000,2,111
X10_1,111,swap,5000,3,111
X10_1,111,swap,5000,4,111
X10_1,111,swap,5000,5,111
X10_1,111,api,100,1,119
X10_1,111,api,100,2,119
X10_1,111,api,100,3,119
X10_1,111,api,100,4,119
X10_1,111,api,100,5,119
X10_1,111,api,500,1,116
X10_1,111,api,500,2,115
X10_1,111,api,500,3,113
X10_1,111,api,500,4,114
X10_1,111,api,500,5,118
X10_1,111,api,1000,1,113
X10_1,111,api,1000,2,111
X10_1,111,api,1000,3,113
X10_1,111,api,1000,4,111
X10_1,111,api,1000,5,116
X10_1,111,api,5000,1,111
X10_1,111,api,5000,2,113
X10_1,111,api,5000,3,111
X10_1,111,api,5000,4,111
X10_1,111,api,5000,5,111
X11_1,172,swap,100,1,203
X11_1,172,swap,100,2,201
X11_1,172,swap,100,3,202
X11_1,172,swap,100,4,200
X11_1,172,swap,100,5,203
X11_1,172,swap,500,1,192
X11_1,172,swap,500,2,196
X11_1,172,swap,500,3,202
X11_1,172,swap,500,4,196
X11_1,172,swap,500,5,201
X11_1,172,swap,1000,1,194
X11_1,172,swap,1000,2,197
X11_1,172,swap,1000,3,196
X11_1,172,swap,1000,4,194
X11_1,172,swap,1000,5,195
X11_1,172,swap,5000,1,191
X11_1,172,swap,5000,2,188
X11_1,172,swap,5000,3,194
X11_1,172,swap,5000,4,192
X11_1,172,swap,5000,5,189
X11_1,172,api,100,1,204
X11_1,172,api,100,2,206
X11_1,172,api,100,3,204
X11_1,172,api,100,4,206
X11_1,172,api,100,5,204
X11_1,172,api,500,1,204
X11_1,172,api,500,2,201
X11_1,172,api,500,3,197
X11_1,172,api,500,4,199
X11_1,172,api,500,5,199
X11_1,172,api,1000,1,200
X11_1,172,api,1000,2,194
X11_1,172,api,1000,3,194
X11_1,172,api,1000,4,197
X11_1,172,api,1000,5,199
